,StartStationName,county,city,province
492,东莞市松山湖汽车客运站,东莞市,东莞,广东
493,桐梓客运站,桐梓县,遵义,贵州
494,翼城汽车站,翼城县,临汾,山西
495,惠州南线客运站,,惠州,广东
496,金华市东阳客运西站,东阳市,金华,浙江
497,庆阳市庆城汽车站,庆城县,庆阳,甘肃
498,永昌汽车站,永昌县,金昌,甘肃
499,152223002,,,
500,鸡东县公路客运站,鸡东县,鸡西,黑龙
501,伊春乌马河公路客运站,,伊春,黑龙
502,徐州南站,,徐州,江苏
503,无为南站,无为市,芜湖,安徽
504,芙蓉岭,芙蓉区,长沙,湖南
505,西二环配客,,,
506,南丰客运西站,南丰县,抚州,江西
507,鄄城汽车站,鄄城县,菏泽,山东
508,林州汽车南站,林州市,安阳,河南
509,宣恩客运站,宣恩县,恩施,湖北
510,耒阳汽车站,耒阳市,衡阳,湖南
511,临武东塔汽车站,临武县,郴州,湖南
512,云安白石汽车客运站,云安区,云浮,广东
513,文昌凤尾,文昌市,儋州,海南
514,平塘汽车站,平塘县,黔南,贵州
515,岗巴县客运站,岗巴县,日喀,西藏
516,阿克苏旅客运输公司客运站,阿克陶县,克孜,新疆
517,乌什运输站,乌什县,阿克,新疆
518,平遥汽车站,平遥县,晋中,山西
519,集宁长途汽车站,集宁区,乌兰,内蒙
520,包头市昆区站,,包头,内蒙
521,230622026,,,
522,滨海站,滨海县,盐城,江苏
523,花垣县汽车站,花垣县,湘西,湖南
524,四会市槎山客运站,四会市,肇庆,广东
525,口,,,
526,保亭槟榔谷,保亭黎族苗族自治县,儋州,海南
527,重庆巫山,巫山县,重庆,重庆
528,琼山侨中,琼山区,海口,海南
529,成都东站汽车站(火车东站旁),,成都,四川
530,茶店子车站,,,
531,仁布县客运站,仁布县,日喀,西藏
532,河曲汽车客运站,河曲县,忻州,山西
533,扎兰屯客运站,扎兰屯市,呼伦,内蒙
534,锦山镇汽车站,,,
535,昌图汽车客运站,昌图县,铁岭,辽宁
536,230781087,,,
537,拜泉县中心客运站,拜泉县,齐齐,黑龙
538,镇江汽车站,,镇江,江苏
539,衢州汽车客运中心,,衢州,浙江
540,坎市,,,
541,桃村,,,
542,封丘汽车站,封丘县,新乡,河南
543,保康,保康县,襄阳,湖北
544,广华,,,
545,怀集县交通运输有限公司冷坑客运站,怀集县,肇庆,广东
546,官窑车站,,,
547,潭牛,,,
548,文昌月亮湾,文昌市,儋州,海南
549,桶井梅山,,,
550,宜宾西门汽车客运站,,宜宾,四川
551,汶川汽车站,汶川县,阿坝,四川
552,黄平旧州汽车站,黄平县,黔东,贵州
553,镇原县客运中心,镇原县,庆阳,甘肃
554,肇庆客运站,,肇庆,广东
555,普定客运站,普定县,安顺,贵州
556,雷山县西江汽车站,雷山县,黔东,贵州
557,凤台,凤台县,淮南,安徽
558,灯塔市灯塔客运服务站,灯塔市,辽阳,辽宁
559,230231001,,,
560,370502001,,,
561,230713004,,,
562,232722035,,,
563,230604003,,,
564,宁安东京城客运站,宁安市,牡丹,黑龙
565,泾口,,,
566,青阳,青阳县,池州,安徽
567,涵江,涵江区,莆田,福建
568,蛟洋高速口,,,
569,平舆汽车北站,平舆县,驻马,河南
570,汕头市汽车客运中心站,,汕头,广东
571,阳西县程村汽车客运站,阳西县,阳江,广东
572,徐闻总站,徐闻县,湛江,广东
573,吴川总站,吴川市,湛江,广东
574,东方新龙,新龙县,甘孜,四川
575,川主寺汽车站,,,
576,三府湾客运站,,,
577,下水径配客站,,,
578,镇宁客运站,镇宁布依族苗族自治县,安顺,贵州
579,凯里城南汽车客运站,凯里市,黔东,贵州
580,康乐公用型汽车站,康乐县,临夏,甘肃
581,满洲里口岸国际客运站,满洲里市,呼伦,内蒙
582,西丰,西丰县,铁岭,辽宁
583,滨海新区客运站,滨海县,盐城,江苏
584,海门六甲站,海门市,南通,江苏
585,集美,集美区,厦门,福建
586,天子温泉,温泉县,博尔,新疆
587,泰山站,泰山区,泰安,山东
588,上蔡汽车西站,上蔡县,驻马,河南
589,新蔡新汽车站,新蔡县,驻马,河南
590,郧西客运站,郧西县,十堰,湖北
591,常宁站,常宁市,衡阳,湖南
592,马田车站,,,
593,益阳赫山汽车站,赫山区,益阳,湖南
594,韶关汽车客运东站,,韶关,广东
595,徐闻县中心汽车客运站,徐闻县,湛江,广东
596,隆江镇第三招呼站,,,
597,珠海海洋王国,,珠海,广东
598,腰古站,,,
599,巴马汽车总站,巴马瑶族自治县,河池,广西
600,保亭三道,保亭黎族苗族自治县,儋州,海南
601,邦开路口,,,
602,巴中平昌车站,平昌县,巴中,四川
603,仙城客运站,,,
604,钦州总站,,钦州,广西
605,紫云客运站,紫云苗族布依族自治县,安顺,贵州
606,互助县汽车站,互助土族自治县,海东,青海
607,海原汽车站,海原县,中卫,宁夏
608,呼图壁汽车站,呼图壁县,昌吉,新疆
609,东胜客运中心站,东胜区,鄂尔,内蒙
610,辽阳市长途客运总站,辽阳县,辽阳,辽宁
611,营口市长途客运站,,营口,辽宁
612,延吉市公路客运总站,延吉市,延边,吉林
613,江源区公路客运总站,江源区,白山,吉林
614,150721001,,,
615,231084013,,,
616,邳宏通南,,,
617,淮安行政中心,淮安区,淮安,江苏
618,金华汽车西站,,金华,浙江
619,政和汽车站,政和县,南平,福建
620,官田,,,
621,通城,通城县,咸宁,湖北
622,深圳南山汽车客运站,南山区,深圳,广东
623,大坝点,,,
624,乐平汽车站,乐平市,景德,江西
625,同心汽车站,同心县,吴忠,宁夏
626,太原迎宾汽车站,,太原,山西
627,合肥汽车客运南站,,合肥,安徽
628,珲春市公路客运总站,珲春市,延边,吉林
629,230204001,,,
630,杭州汽车北站,,杭州,浙江
631,嘉兴北站,,嘉兴,浙江
632,永福,永福县,桂林,广西
633,清濛车站,,,
634,潜江汽车客运站,潜江市,恩施,湖北
635,坪阡,,,
636,翁源龙仙汽车客运站,翁源县,韶关,广东
637,测试客运站,,,
638,江湛铁路阳江客运招呼站,,阳江,广东
639,北流城南汽车客运站,北流市,玉林,广西
640,文昌站,文昌市,儋州,海南
641,和乐,,,
642,巴中平昌客运中心,平昌县,巴中,四川
643,韶关翁源客运站,翁源县,韶关,广东
644,庄浪东站,庄浪县,平凉,甘肃
645,乌兰浩特汽车站,乌兰县,海西,青海
646,抚顺,抚顺县,抚顺,辽宁
647,231121001,,,
648,舟山普陀客运(乘换)中心,普陀区,舟山,浙江
649,三号线员工,,,
650,上蔡汽车东站,上蔡县,驻马,河南
651,长沙南线区域E,长沙县,长沙,湖南
652,平远汽车客运站,平远县,梅州,广东
653,练溪点,,,
654,拱北通大站,,,
655,三亚站,,三亚,海南
656,屯昌高速路口,屯昌县,儋州,海南
657,中建,,,
658,琼海塔洋,琼海市,儋州,海南
659,遵义忠庄车站,,遵义,贵州
660,蓬安汽车客运站,蓬安县,南充,四川
661,渭南客运中心站,,渭南,陕西
662,沙市长途客运站,沙市区,荆州,湖北
663,安乡汽车站,安乡县,常德,湖南
664,长岭客运站,长岭县,松原,吉林
665,互助汽车站,互助土族自治县,海东,青海
666,沙湾客运站,沙湾县,塔城,新疆
667,应县汽车站,应县,朔州,山西
668,五汛双桥,双桥区,承德,河北
669,东阳横店站,东阳市,金华,浙江
670,诸暨客运站,诸暨市,绍兴,浙江
671,岳西车站,岳西县,安庆,安徽
672,新泉,,,
673,常德德山区域,,常德,湖南
